,component,num_of_addrs
1631,1631,7
1632,1632,6
1633,1633,8
1634,1634,3
1635,1635,2
1636,1636,15
1637,1637,2
1638,1638,3
1639,1639,2
1640,1640,2
1641,1641,2
1642,1642,3
1643,1643,4
1644,1644,2
1645,1645,2
1646,1646,4
1647,1647,2
1648,1648,4
1649,1649,2
1650,1650,3
1651,1651,2
1652,1652,2
1653,1653,2
1654,1654,2
1655,1655,2
1656,1656,2
1657,1657,5
1658,1658,2
1659,1659,2
1660,1660,9
1661,1661,4
1662,1662,2
1663,1663,2
1664,1664,2
1665,1665,10
1666,1666,2
1667,1667,7
1668,1668,7
1669,1669,2
1670,1670,4
1671,1671,3
1672,1672,3
1673,1673,2
1674,1674,12
1675,1675,2
1676,1676,5
1677,1677,3
1678,1678,3
1679,1679,2
1680,1680,15
1681,1681,14
1682,1682,2
1683,1683,10
1684,1684,2
1685,1685,2
1686,1686,3
1687,1687,3
1688,1688,2
1689,1689,2
1690,1690,4
1691,1691,2
1692,1692,3
1693,1693,2
1694,1694,3
1695,1695,9
1696,1696,4
1697,1697,2
1698,1698,2
1699,1699,2
1700,1700,2
1701,1701,2
1702,1702,2
1703,1703,2
1704,1704,2
1705,1705,2
1706,1706,2
1707,1707,2
1708,1708,2
1709,1709,13
1710,1710,2
1711,1711,2
1712,1712,3
1713,1713,2
1714,1714,5
1715,1715,4
1716,1716,2
1717,1717,2
1718,1718,3
1719,1719,2
1720,1720,2
1721,1721,6
1722,1722,16
1723,1723,3
1724,1724,17
1725,1725,13
1726,1726,4
1727,1727,2
1728,1728,2
1729,1729,2
1730,1730,6
1731,1731,2
1732,1732,2
1733,1733,2
1734,1734,5
1735,1735,2
1736,1736,2
1737,1737,3
1738,1738,5
1739,1739,2
1740,1740,16
1741,1741,2
1742,1742,3
1743,1743,12
1744,1744,7
1745,1745,3
1746,1746,2
1747,1747,5
1748,1748,5
1749,1749,7
1750,1750,4
1751,1751,2
1752,1752,3
1753,1753,2
1754,1754,3
1755,1755,8
1756,1756,3
1757,1757,4
1758,1758,10
1759,1759,4
1760,1760,19
1761,1761,2
1762,1762,4
1763,1763,3
1764,1764,3
1765,1765,2
1766,1766,6
1767,1767,3
1768,1768,3
1769,1769,2
